date,size,still_percent,still_up
2018-03-01,36,66.67,24
2018-03-02,11,63.64,7
2018-03-05,55,80.0,44
2018-03-06,46,71.74,33
2018-03-07,32,75.0,24
2018-03-08,135,88.15,119
2018-03-09,128,97.66,125
2018-03-12,69,63.77,44
2018-03-13,13,30.77,4
2018-03-14,8,37.5,3
2018-03-15,13,69.23,9
2018-03-16,22,59.09,13
2018-03-19,17,88.24,15
2018-03-20,26,73.08,19
2018-03-21,17,64.71,11
2018-03-22,31,54.84,17
2018-03-23,17,64.71,11
2018-03-26,34,94.12,32
2018-03-27,42,69.05,29
2018-03-28,18,55.56,10
2018-03-29,25,88.0,22
2018-03-30,56,80.36,45
2018-04-02,22,63.64,14
2018-04-03,25,68.0,17
2018-04-04,22,63.64,14
2018-04-09,46,54.35,25
2018-04-10,22,77.27,17
2018-04-11,28,46.43,13
2018-04-12,21,47.62,10
2018-04-13,18,61.11,11
2018-04-16,25,36.0,9
2018-04-17,7,71.43,5
2018-04-18,30,53.33,16
2018-04-19,12,41.67,5
2018-04-20,7,42.86,3
2018-04-23,8,75.0,6
2018-04-24,31,74.19,23
2018-04-25,19,36.84,7
2018-04-26,9,33.33,3
2018-04-27,8,75.0,6
2018-05-02,16,75.0,12
2018-05-03,17,58.82,10
2018-05-04,29,96.55,28
2018-05-07,49,87.76,43
2018-05-08,44,61.36,27
2018-05-09,34,64.71,22
2018-05-10,30,30.0,9
2018-05-11,17,64.71,11
2018-05-14,21,80.95,17
2018-05-15,17,58.82,10
2018-05-16,16,62.5,10
2018-05-17,17,52.94,9
2018-05-18,31,87.1,27
2018-05-21,56,80.36,45
2018-05-22,28,32.14,9
2018-05-23,17,76.47,13
2018-05-24,31,67.74,21
2018-05-25,19,52.63,10
2018-05-28,23,47.83,11
2018-05-29,12,33.33,4
2018-05-30,3,100.0,3
2018-05-31,15,46.67,7
2018-06-01,7,57.14,4
2018-06-04,11,100.0,11
2018-06-05,9,55.56,5
2018-06-06,2,100.0,2
2018-06-07,6,16.67,1
2018-06-08,12,91.67,11
2018-06-11,15,86.67,13
2018-06-12,18,50.0,9
2018-06-13,11,63.64,7
2018-06-14,15,53.33,8
2018-06-15,7,42.86,3
2018-06-19,6,66.67,4
2018-06-20,10,50.0,5
2018-06-25,2,50.0,1
2018-06-26,7,28.57,2
2018-06-27,3,0.0,0
2018-06-28,15,93.33,14
2018-06-29,121,37.19,45
2018-07-02,18,83.33,15
2018-07-03,70,27.14,19
2018-07-04,13,30.77,4
2018-07-05,6,83.33,5
2018-07-06,12,75.0,9
2018-07-09,30,86.67,26
2018-07-10,26,46.15,12
2018-07-11,14,64.29,9
2018-07-12,44,70.45,31
2018-07-13,40,82.5,33
2018-07-16,32,78.12,25
2018-07-17,20,45.0,9
2018-07-18,19,47.37,9
2018-07-19,18,55.56,10
2018-07-20,34,88.24,30
2018-07-23,71,94.37,67
2018-07-24,86,75.58,65
2018-07-25,38,42.11,16
2018-07-26,43,53.49,23
2018-07-27,27,66.67,18
2018-07-30,9,55.56,5
2018-07-31,16,37.5,6
2018-08-01,7,85.71,6
2018-08-02,9,44.44,4
2018-08-03,3,100.0,3
2018-08-06,5,100.0,5
2018-08-07,19,63.16,12
2018-08-08,2,100.0,2
2018-08-09,9,88.89,8
2018-08-10,8,75.0,6
2018-08-13,10,50.0,5
2018-08-14,7,0.0,0
